,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila de Zaragoza,Colima,Chiapas,Chihuahua,Ciudad de México,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,México,Michoacán de Ocampo,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz de Ignacio de la Llave,Yucatán,Zacatecas
01-2005,34.0,14.4,18.4,41.7,29.6,24.0,69.6,26.4,22.6,43.5,37.1,58.9,46.5,30.8,34.0,43.5,41.1,34.7,16.4,59.1,49.7,35.1,22.8,46.7,24.8,25.7,45.6,30.9,45.8,49.4,45.6,52.8
04-2005,32.1,13.8,17.9,42.0,29.1,23.5,69.2,25.5,24.1,43.8,38.3,59.9,49.0,29.2,35.2,42.1,42.0,38.0,16.4,61.8,52.3,35.4,23.2,47.5,28.0,23.6,44.1,34.1,46.9,50.6,46.6,51.1
07-2005,32.3,15.1,17.4,42.8,27.7,22.6,68.0,25.8,23.9,42.6,39.0,59.5,45.4,30.6,32.5,45.8,42.4,37.7,16.5,60.3,51.0,34.0,23.4,47.8,28.9,25.3,41.2,29.7,47.5,49.1,45.8,49.5
11-2005,30.0,13.4,15.8,39.7,26.5,23.6,69.5,24.5,20.7,39.6,36.3,57.7,45.9,29.8,32.1,41.5,38.2,35.2,17.3,58.2,49.0,30.7,22.3,46.2,25.1,23.8,40.8,26.9,44.9,47.9,44.7,46.6
01-2006,31.4,14.3,15.7,41.2,26.6,22.9,67.8,20.5,20.4,40.7,37.9,56.7,47.5,26.1,30.4,45.4,37.8,34.4,15.4,61.7,50.4,32.4,20.6,43.6,21.8,21.9,37.9,27.8,45.4,46.2,44.4,51.8
04-2006,30.6,13.6,13.6,38.8,25.4,19.4,68.4,19.8,22.1,38.3,35.0,56.4,45.5,28.2,28.5,40.0,37.7,32.4,15.6,57.8,48.8,30.3,19.9,43.6,23.8,19.5,38.1,26.2,44.7,46.3,41.9,46.0
07-2006,29.6,13.5,13.8,38.3,25.3,21.2,67.3,22.4,22.5,41.3,35.1,56.6,47.4,30.1,30.3,40.2,34.4,33.8,16.4,58.4,47.4,29.5,19.7,44.8,25.9,25.0,36.8,25.8,46.3,45.9,42.2,47.1
11-2006,31.4,15.8,12.3,39.1,25.7,22.3,68.7,22.0,22.3,39.3,36.2,58.3,47.3,27.5,31.6,41.1,35.2,31.7,15.3,60.9,48.5,31.7,21.5,46.4,24.4,22.7,36.4,26.7,46.0,49.2,40.6,46.0
01-2007,33.0,14.7,14.3,39.1,25.9,23.5,69.4,21.9,21.4,40.3,38.2,58.5,47.0,26.5,32.9,40.7,37.0,33.2,16.0,61.2,47.2,31.5,19.1,46.8,23.7,21.8,38.8,29.3,44.2,47.5,41.4,46.9
04-2007,31.0,12.8,14.2,37.9,24.3,21.1,63.6,21.5,21.0,38.6,37.2,57.0,44.2,24.7,30.3,40.5,35.0,32.1,13.7,58.4,46.4,30.1,19.3,45.7,23.1,21.2,37.6,25.8,44.3,44.6,39.9,44.4
