,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila de Zaragoza,Colima,Chiapas,Chihuahua,Ciudad de México,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,México,Michoacán de Ocampo,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz de Ignacio de la Llave,Yucatán,Zacatecas
07-2019,1.2439,0.9315,1.1209,0.9895,1.0142,0.9915,1.0416,1.0479,1.1295,0.9926,0.9836,1.1077,1.0419,1.1249,1.1521,1.1561,1.1665,1.1077,1.0868,1.0677,1.0182,1.091,1.0455,1.0509,1.15,1.0117,1.1131,1.0214,1.0219,1.1322,1.0289,1.0145
10-2019,1.1628,0.9962,1.101,0.9955,1.0173,0.9524,0.9948,0.9939,1.0927,0.9978,1.0198,1.1145,1.1288,1.0786,1.1028,1.1669,1.116,1.1295,1.05,1.0576,1.0763,1.063,1.0298,1.0402,1.0675,0.9815,1.0469,1.0215,1.0052,1.0436,1.0143,0.9877
01-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-2020,1.2753,1.3107,2.0058,1.1946,1.2094,1.3232,1.0574,1.1546,1.5758,1.1109,1.2751,1.1436,1.2299,1.2107,1.3737,1.1811,1.137,1.2033,1.4205,1.0695,1.2936,1.232,1.8411,1.1096,1.5881,1.5255,1.3952,1.191,1.2239,1.2021,1.193,0.9961
10-2020,1.1601,1.247,1.585,1.0504,1.127,1.1603,1.0018,1.1637,1.4399,1.1227,1.0935,1.0484,1.1408,1.0874,1.2367,1.1481,1.0934,1.0441,1.2047,0.9971,1.2339,1.0608,1.5671,1.0246,1.2405,1.1457,1.2758,1.0742,1.161,1.0897,1.1117,0.9559
01-2021,1.1382,1.2876,1.7115,1.0362,1.1025,1.1619,1.0024,1.2119,1.5331,1.1225,1.2247,1.0716,1.1389,1.1041,1.2342,1.2161,1.0877,0.889,1.1921,1.0026,1.1445,1.0729,1.41,1.0571,1.224,1.1315,1.1846,1.0378,1.1396,1.0803,1.0768,0.9608
04-2021,1.1331,1.0402,1.4479,0.988,1.0734,0.9584,0.9612,1.0465,1.3896,1.0785,1.1641,1.1104,0.9689,1.0286,1.1443,1.114,1.0444,0.9893,1.1774,1.0688,1.1327,1.0724,1.2555,0.9883,1.0658,1.0467,1.1543,1.0162,1.0651,1.0152,1.0713,0.9624
07-2021,1.1574,1.1064,1.1904,1.0484,1.0925,0.9343,1.0081,1.1718,1.3056,1.089,1.1183,1.1235,1.0157,1.1307,1.1295,1.1693,1.0563,1.0139,1.1225,1.0824,1.171,1.0352,1.1021,0.9922,1.3008,1.1431,1.1226,0.9832,1.1035,1.1473,1.1401,0.9516
10-2021,1.1374,1.0796,0.9467,0.9568,1.0593,0.9058,1.0197,1.0591,1.2862,1.0639,1.225,1.1326,1.0268,1.0767,1.1122,1.1966,1.1004,0.9655,1.1438,1.0896,1.2211,1.0922,1.0834,0.9548,1.1502,0.9902,1.099,0.9346,1.0861,1.0928,1.112,0.9191
01-2022,1.182,0.8581,1.0436,0.9094,1.0761,0.9412,0.9614,1.0597,1.2349,1.0728,1.162,1.0818,1.1107,1.0385,1.0297,1.1105,1.0916,0.8474,1.1303,1.0285,1.1463,1.0647,1.1059,0.9308,1.0792,1.0637,1.0631,1.0111,1.0337,1.0458,1.0127,1.0352
04-2022,1.2163,0.9404,0.9579,0.9819,1.0254,0.9196,0.9826,0.9835,1.1289,1.0335,1.141,1.1085,1.0716,0.9559,1.0255,1.1006,1.1004,0.8856,1.197,1.0063,1.1253,1.1013,1.0208,0.9302,1.0788,1.0615,1.0832,0.9678,1.0168,1.0459,1.0037,0.949
07-2022,1.2686,1.016,0.9503,1.023,0.9781,0.9824,1.0242,0.9863,1.2249,1.0468,1.1978,1.2099,0.9388,1.0522,1.0757,1.2086,1.0859,0.9728,1.226,1.0636,1.1525,1.1915,1.0363,0.9864,1.2234,1.1355,1.1176,1.0211,1.0286,1.1022,1.0034,0.9988
10-2022,1.302,0.9523,0.9576,1.0071,0.9143,1.0354,1.0127,0.9239,1.0793,1.061,1.1369,1.1508,0.8974,1.0262,1.0694,1.1655,1.0093,0.939,1.1806,1.0482,1.0631,1.1244,0.9219,0.9677,1.0288,1.038,1.0367,0.9935,1.0256,1.0253,0.9985,1.1092
01-2023,1.222,0.9016,0.9487,1.0009,1.0702,0.9459,0.9888,1.1081,1.0217,1.1166,1.1592,1.0609,0.8633,1.0074,0.995,1.2291,1.0056,0.9601,1.1809,0.9743,1.0562,1.0312,0.978,0.8949,0.9619,1.1072,1.0267,0.9828,1.0288,1.0611,0.992,1.0546
